Program,Characteristic,Stakeholder,StakeholderPart,Weight,x,y
AGS,1a,5489,,1,5,NA
AGS,1a,1897,,1,4,NA
AGS,1a,7759,,1,5,NA
AGS,1a,8398,,1,3,NA
AGS,1a,475,,1,3,NA
AGS,1a,3675,i,0.5,3,NA
AGS,1a,3675,ii,0.5,5,NA
AGS,1b,5489,,1,6,NA
AGS,1b,1897,,1,5,NA
AGS,1b,7759,,1,4,NA
AGS,1b,8398,,1,5,NA
AGS,1b,475,,1,6,NA
AGS,1b,3675,,1,1,NA
AGS,1c,5489,,1,5,NA
AGS,1c,1897,,1,4,NA
AGS,1c,7759,,1,5,NA
AGS,1c,8398,i,0.5,3,NA
AGS,1c,8398,ii,0.5,4,NA
AGS,1c,475,,1,3,NA
AGS,1c,3675,,1,5,NA
AGS,2,5489,,1,6,NA
AGS,2,1897,,1,6,NA
AGS,2,7759,,1,6,NA
AGS,2,8398,,1,6,NA
AGS,2,475,,1,5,NA
AGS,2,3675,,1,3,NA
AGS,3,5489,,1,4,6
AGS,3,1897,,1,4,6
AGS,3,7759,,1,6,6
AGS,3,8398,,1,5,5
AGS,3,475,,1,5,5
AGS,3,3675,,1,1,6
AGS,4,5489,,1,6,NA
AGS,4,1897,,1,3,NA
AGS,4,7759,,1,6,NA
AGS,4,8398,,1,4,NA
AGS,4,475,i,0.5,3,NA
AGS,4,475,ii,0.5,4,NA
AGS,5,5489,i,0.5,2,NA
AGS,5,5489,ii,0.5,3,NA
AGS,5,1897,,1,4,NA
AGS,5,7759,,1,3,NA
AGS,5,8398,,1,5,NA
AGS,5,475,,1,3,NA
AGS,5,3675,,1,6,NA
AGS,6,5489,,1,6,NA
AGS,6,1897,,1,5,NA
AGS,6,7759,,1,5,NA
AGS,6,8398,,1,5,NA
AGS,6,475,,1,4,NA
AGS,6,3675,,1,6,NA
AGS,7,5489,,1,4,3
AGS,7,1897,,1,5,4
AGS,7,7759,,1,4,3
AGS,7,8398,,1,5,3
AGS,7,475,,1,2,5
AGS,7,3675,,1,3,1
AGS,8,5489,,1,4,5
AGS,8,1897,,1,4,4
AGS,8,7759,,1,3,6
AGS,8,8398,,1,5,4
AGS,8,475,,1,3,5
AGS,8,3675,i,0.33,1,6
AGS,8,3675,ii,0.33,3,6
AGS,8,3675,iii,0.33,6,6
